lineup,team,opponent,month,dayofmonth,minutes,points
G. Antetokounmpo | J. Bayless | E. Ilyasova | O. Mayo | Z. Pachulia,MIL,WAS,11,22,3.4,98.8235294118
G. Antetokounmpo | J. Bayless | K. Middleton | J. O'Bryant | Z. Pachulia,MIL,ATL,3,30,5.3,63.3962264151
G. Antetokounmpo | J. Bayless | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,MIA,3,24,12.0,28.0
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,SAC,2,11,6.7,50.1492537313
G. Antetokounmpo | J. Bayless | M. Carter-Williams | J. Henson | O. Mayo,MIL,PHI,4,13,3.4,98.8235294118
E. Ilyasova | B. Knight | K. Middleton | Z. Pachulia | J. Parker,MIL,WAS,11,1,5.1,65.8823529412
J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,DET,1,24,4.7,71.4893617021
J. Bayless | J. Dudley | O. Mayo | J. O'Bryant | Z. Pachulia,MIL,UTA,1,22,6.6,43.6363636364
J. Bayless | O. Mayo | K. Middleton | Z. Pachulia | J. Parker,MIL,NYK,11,18,2.7,106.666666667
G. Antetokounmpo | J. Bayless | O. Mayo | Z. Pachulia | N. Wolters,MIL,OKC,11,11,5.1,56.4705882353
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,CLE,3,22,18.2,15.8241758242
J. Bayless | M. Carter-Williams | E. Ilyasova | O. Mayo | Z. Pachulia,MIL,CHI,4,1,2.9,99.3103448276
G. Antetokounmpo | J. Dudley | T. Ennis | J. Henson | O. Mayo,MIL,ATL,2,22,2.2,130.909090909
G. Antetokounmpo | M. Carter-Williams | J. Henson | E. Ilyasova | O. Mayo,MIL,BOS,4,3,4.0,72.0
J. Bayless | J. Dudley | T. Ennis | J. Henson | O. Mayo,MIL,GSW,3,28,12.0,24.0
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,PHO,1,6,5.2,55.3846153846
G. Antetokounmpo | J. Bayless | M. Carter-Williams | E. Ilyasova | M. Plumlee,MIL,SAS,3,18,4.4,65.4545454545
J. Dudley | J. Henson | B. Knight | O. Mayo | K. Middleton,MIL,CLE,12,31,3.1,92.9032258065
J. Bayless | J. Dudley | J. Henson | E. Ilyasova | K. Middleton,MIL,DET,11,25,3.9,73.8461538462
M. Carter-Williams | T. Ennis | J. Henson | K. Middleton | M. Plumlee,MIL,BRK,3,20,2.9,99.3103448276
J. Bayless | J. Dudley | T. Ennis | J. Henson | E. Ilyasova,MIL,DEN,3,3,1.7,169.411764706
G. Antetokounmpo | B. Knight | K. Middleton | J. O'Bryant | Z. Pachulia,MIL,NYK,1,4,12.9,22.3255813953
G. Antetokounmpo | B. Knight | O. Mayo | J. O'Bryant | Z. Pachulia,MIL,SAC,2,11,1.5,192.0
J. Bayless | J. Dudley | K. Martin | O. Mayo | K. Middleton,MIL,POR,1,31,6.2,46.4516129032
J. Bayless | J. Henson | B. Knight | O. Mayo | J. Parker,MIL,WAS,11,1,4.1,70.243902439
J. Bayless | J. Dudley | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,MIN,11,26,10.9,26.4220183486
J. Bayless | J. Dudley | O. Mayo | K. Middleton | Z. Pachulia,MIL,BOS,4,3,3.1,92.9032258065
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | O. Mayo,MIL,MEM,11,8,6.3,45.7142857143
G. Antetokounmpo | M. Carter-Williams | J. Henson | E. Ilyasova | K. Middleton,MIL,NOP,3,9,2.8,102.857142857
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,BOS,4,15,14.3,20.1398601399
J. Dudley | T. Ennis | O. Mayo | K. Middleton | Z. Pachulia,MIL,DEN,2,20,4.5,64.0
G. Antetokounmpo | J. Bayless | B. Knight | K. Middleton | J. Parker,MIL,MIA,12,5,3.9,73.8461538462
G. Antetokounmpo | J. Bayless | J. Dudley | Z. Pachulia | N. Wolters,MIL,OKC,11,11,2.5,115.2
T. Ennis | E. Ilyasova | O. Mayo | K. Middleton | Z. Pachulia,MIL,UTA,2,28,1.0,288.0
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | O. Mayo,MIL,DET,11,7,2.6,110.769230769
G. Antetokounmpo | J. Bayless | J. Henson | O. Mayo | N. Wolters,MIL,PHI,10,31,10.3,23.3009708738
G. Antetokounmpo | B. Knight | O. Mayo | Z. Pachulia | J. Parker,MIL,BRK,11,19,17.2,13.9534883721
J. Dudley | E. Ilyasova | B. Knight | O. Mayo | Z. Pachulia,MIL,DET,11,25,1.5,160.0
G. Antetokounmpo | J. Bayless | M. Carter-Williams | Z. Pachulia | M. Plumlee,MIL,MIA,3,24,2.7,88.8888888889
G. Antetokounmpo | M. Carter-Williams | J. Henson | E. Ilyasova | K. Middleton,MIL,ORL,3,11,4.7,51.0638297872
G. Antetokounmpo | J. Bayless | J. Henson | E. Ilyasova | K. Marshall,MIL,WAS,11,1,2.4,100.0
J. Bayless | J. Dudley | K. Marshall | K. Middleton | L. Sanders,MIL,MIA,12,5,5.0,48.0
J. Bayless | J. Dudley | T. Ennis | J. Henson | C. Johnson,MIL,NOP,3,9,2.5,96.0
G. Antetokounmpo | J. Bayless | O. Mayo | J. O'Bryant | Z. Pachulia,MIL,SAC,2,11,1.0,240.0
G. Antetokounmpo | J. Bayless | M. Carter-Williams | E. Ilyasova | Z. Pachulia,MIL,PHI,2,25,2.5,96.0
G. Antetokounmpo | T. Ennis | J. Henson | E. Ilyasova | O. Mayo,MIL,BOS,4,15,5.5,43.6363636364
J. Bayless | J. Dudley | K. Marshall | K. Middleton | L. Sanders,MIL,LAC,12,20,3.1,77.4193548387
G. Antetokounmpo | J. Dudley | B. Knight | O. Mayo | Z. Pachulia,MIL,CHO,12,29,3.8,63.1578947368
G. Antetokounmpo | J. Dudley | B. Knight | K. Martin | O. Mayo,MIL,ORL,1,29,5.4,44.4444444444
J. Bayless | J. Henson | E. Ilyasova | O. Mayo | K. Middleton,MIL,ATL,3,30,2.3,104.347826087
M. Carter-Williams | J. Dudley | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,BRK,4,12,4.0,60.0
G. Antetokounmpo | M. Carter-Williams | J. Dudley | K. Middleton | Z. Pachulia,MIL,GSW,3,4,9.3,25.8064516129
G. Antetokounmpo | J. Bayless | E. Ilyasova | B. Knight | K. Middleton,MIL,BOS,2,7,2.0,120.0
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | O. Mayo,MIL,NYK,1,15,1.4,171.428571429
J. Dudley | B. Knight | O. Mayo | K. Middleton | Z. Pachulia,MIL,IND,1,2,0.7,342.857142857
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | O. Mayo,MIL,MIN,1,9,4.2,57.1428571429
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | O. Mayo,MIL,DET,1,24,3.0,80.0
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,ORL,1,29,11.7,20.5128205128
G. Antetokounmpo | B. Knight | K. Middleton | Z. Pachulia | J. Parker,MIL,MIA,12,5,2.9,82.7586206897
J. Bayless | J. Dudley | J. Henson | K. Marshall | O. Mayo,MIL,NYK,1,4,4.0,60.0
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,UTA,2,28,12.6,19.0476190476
J. Bayless | J. Dudley | B. Knight | K. Marshall | J. O'Bryant,MIL,SAC,12,18,3.9,61.5384615385
J. Dudley | B. Knight | Z. Pachulia | J. Parker | N. Wolters,MIL,OKC,11,11,3.0,80.0
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,NOP,3,9,14.6,16.4383561644
