lineup,team,opponent,month,dayofmonth,minutes,avg_pm,points,pred
B. Bass | A. Bradley | M. Smart | E. Turner | T. Zeller,BOS,NYK,3,27,7.7,-4.06779661017,-18.7012987013,-34.0306915729
T. Chandler | M. Ellis | R. Jefferson | D. Nowitzki | R. Rondo,DAL,PHO,4,8,13.2,66.6666666666,40.0,69.3487868687
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,CHI,4,15,16.7,15.53433051,45.9880239521,38.5133877324
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,OKC,4,1,17.4,-39.5876288659,-19.3103448276,-84.0856743263
C. Brewer | J. Dorsey | J. Harden | J. Smith | J. Terry,HOU,WAS,3,29,1.4,224.0,34.2857142857,71.8860272461
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,POR,3,24,13.3,54.4680851064,39.6992481203,54.9065667237
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,DAL,4,4,10.7,-16.5517241379,17.9439252336,30.3381318394
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,CHA,3,27,15.8,-8.37808807732,-33.417721519,-52.7949270295
L. Deng | G. Dragic | U. Haslem | D. Wade | H. Whiteside,MIA,ORL,4,13,11.7,-32.8205128205,8.20512820513,2.88369994303
C. Butler | K. Caldwell-Pope | A. Drummond | R. Jackson | A. Tolliver,DET,CLE,4,13,2.2,75.7894736842,43.6363636364,64.2454819553
K. Irving | T. Mozgov | I. Shumpert | J. Smith | T. Thompson,CLE,MIA,4,2,7.8,-27.8260869565,43.0769230769,15.0378788611
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,SAS,4,5,16.7,20.5115945494,-48.8622754491,-34.0663676672
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,CHI,3,3,12.4,22.5663466968,-15.4838709677,-25.0464745511
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,DEN,4,13,24.7,6.41474654374,-9.71659919028,-43.2080650318
M. Barnes | J. Crawford | B. Griffin | D. Jordan | C. Paul,LAC,LAL,4,7,3.0,91.7482517481,0.0,45.415298271
B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,MIL,3,18,2.0,-21.8181818182,48.0,16.7810434435
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,CLE,3,10,12.4,-13.0909090909,-38.7096774194,-55.7659429102
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,DET,3,31,23.7,15.6629278113,-20.253164557,-50.4042707385
C. Brewer | J. Harden | D. Motiejunas | J. Smith | J. Terry,HOU,LAC,3,15,5.0,-22.3255813954,38.4,-14.7221325206
B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,CLE,3,12,8.1,-1.00008890058e-11,-23.7037037037,-53.6318420723
T. Ariza | C. Brewer | T. Jones | J. Smith | J. Terry,HOU,DAL,4,2,1.2,31.2727272728,40.0,30.1900789403
L. Aldridge | N. Batum | D. Lillard | R. Lopez | W. Matthews,POR,LAC,3,4,20.5,10.3004291846,-18.7317073171,-47.3467388105
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,MIA,3,6,14.4,36.9230769231,46.6666666667,56.0097405435
L. Barbosa | H. Barnes | A. Iguodala | S. Livingston | M. Speights,GSW,DET,3,11,5.5,-120.0,52.3636363636,-19.4063246005
J. Butler | M. Dunleavy | P. Gasol | T. Gibson | D. Rose,CHI,BKN,4,13,15.8,3.38028169014,15.1898734177,29.9103397997
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,SAS,3,22,17.0,-6.88995215308,-59.2941176471,-59.6738781308
T. Duncan | D. Green | K. Leonard | T. Parker | T. Splitter,SAS,DEN,3,6,13.2,-62.1176470588,29.0909090909,11.7417230342
O. Asik | D. Cunningham | A. Davis | T. Evans | E. Gordon,NOP,LAL,4,1,1.7,18.2608695652,28.2352941176,18.8765146022
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,MIN,4,11,10.4,39.4909090909,32.3076923077,45.1604067847
T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,LAL,3,6,8.8,-8.54799190367,0.0,-5.32959045427
D. Exum | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,GSW,3,21,3.1,0.0,15.4838709677,34.8121486231
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,OKC,3,16,10.4,-39.5876288659,-4.61538461538,-59.2338550825
L. Aldridge | N. Batum | D. Lillard | R. Lopez | W. Matthews,POR,SAC,3,1,18.0,-37.1428571428,29.3333333333,15.5799846706
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,POR,4,9,19.1,54.4680851064,45.2356020942,56.865008827
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,NOP,4,7,10.3,41.7391304348,0.0,7.18867863601
T. Chandler | M. Ellis | C. Parsons | R. Rondo | C. Villanueva,DAL,PHO,3,22,2.2,18.2857142857,-43.6363636364,-58.3369675177
T. Ariza | C. Brewer | J. Harden | J. Smith | J. Terry,HOU,PHO,3,21,1.9,48.0,-101.052631579,-13.3337465953
C. Brewer | J. Dorsey | J. Harden | P. Prigioni | J. Smith,HOU,MIN,3,27,5.1,51.4285714285,-18.8235294118,-18.5409471197
T. Booker | T. Burke | R. Gobert | G. Hayward | J. Ingles,UTA,MIN,3,30,3.2,105.0,60.0,103.234388487
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,MEM,3,20,18.9,-11.8015037594,-50.7936507937,-65.3621953798
H. Barnes | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,BOS,3,1,8.4,-192.0,91.4285714286,3.05564195179
R. Butler | D. Gooden | O. Porter | K. Seraphin | R. Sessions,WAS,PHI,4,1,4.2,-46.4516129031,-102.857142857,-64.7552291197
A. Bogut | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,LAL,3,16,5.4,135.968379447,35.5555555556,92.5851157595
T. Ariza | J. Harden | T. Jones | J. Smith | J. Terry,HOU,LAC,3,15,2.0,60.9523809523,-168.0,-102.405964
D. DeRozan | A. Johnson | K. Lowry | J. Valanciunas | G. Vasquez,TOR,IND,3,16,1.7,3.31034482755,0.0,-8.97446095178
C. Frye | B. Gordon | V. Oladipo | E. Payton | N. Vucevic,ORL,HOU,3,17,1.4,17.4545454545,0.0,-8.10449273703
M. Conley | M. Gasol | J. Green | C. Lee | Z. Randolph,MEM,SAC,3,30,12.9,25.0236966825,14.8837209302,34.2894302334
I. Mahinmi | D. Rudez | L. Scola | R. Stuckey | C. Watson,IND,CLE,3,20,1.4,0.0,-68.5714285714,-37.6987703501
A. Brooks | J. Butler | P. Gasol | K. Hinrich | N. Mirotic,CHI,ORL,4,8,1.4,-53.3333333334,-137.142857143,-46.2392230428
T. Ariza | P. Beverley | J. Harden | D. Motiejunas | J. Smith,HOU,LAC,3,15,2.7,-48.0,106.666666667,11.5468993295
