lineup,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
L. Deng | G. Dragic | U. Haslem | D. Wade | H. Whiteside,MIA,16,9,7,0.563,179.0,108.1,110.0,-1.9,0.493,2.03,15.9,0.274,0.734,0.505,0.105,0.498,0.53,91.95,0.508
M. Gasol | J. Green | C. Lee | Z. Randolph | B. Udrih,MEM,20,13,7,0.65,178.0,106.3,110.9,-4.6,0.573,1.48,18.4,0.265,0.801,0.538,0.168,0.54,0.568,91.55,0.508
T. Ariza | P. Beverley | J. Dorsey | J. Harden | D. Motiejunas,HOU,19,13,6,0.684,174.0,102.0,98.7,3.3,0.612,1.26,16.8,0.297,0.797,0.528,0.18,0.497,0.538,98.39,0.498
C. Butler | K. Caldwell-Pope | A. Drummond | R. Jackson | A. Tolliver,DET,18,9,9,0.5,173.0,126.5,112.1,14.3,0.656,2.74,22.8,0.263,0.752,0.515,0.119,0.631,0.64,90.33,0.541
O. Asik | A. Davis | T. Evans | E. Gordon | J. Holiday,NOP,13,7,6,0.538,171.0,109.8,98.5,11.3,0.623,2.33,19.4,0.271,0.793,0.528,0.116,0.511,0.544,94.77,0.558
E. Bledsoe | G. Dragic | M. Morris | M. Plumlee | P. Tucker,PHX,27,16,11,0.593,163.0,102.8,97.6,5.2,0.532,1.24,14.9,0.301,0.752,0.519,0.161,0.476,0.522,97.74,0.527
A. Bradley | J. Green | K. Olynyk | R. Rondo | J. Sullinger,BOS,19,6,13,0.316,161.0,108.7,105.7,3.0,0.618,2.24,19.5,0.248,0.784,0.497,0.12,0.523,0.547,101.83,0.507
D. Exum | D. Favors | R. Gobert | G. Hayward | R. Hood,UTA,16,9,7,0.563,161.0,103.4,92.6,10.8,0.647,1.88,19.0,0.279,0.807,0.552,0.141,0.5,0.52,87.9,0.58
L. Amundson | C. Anthony | J. Calderon | L. Galloway | J. Smith,NYK,9,5,4,0.556,159.0,109.9,104.0,5.9,0.637,2.97,20.3,0.247,0.718,0.473,0.097,0.517,0.533,90.38,0.521
T. Ariza | P. Beverley | J. Harden | T. Jones | D. Motiejunas,HOU,14,10,4,0.714,157.0,106.8,105.9,0.9,0.584,1.46,17.5,0.235,0.701,0.467,0.16,0.526,0.566,96.02,0.5
B. Diaw | T. Duncan | M. Ginobili | K. Leonard | T. Parker,SAS,39,27,12,0.692,156.0,97.4,105.1,-7.8,0.736,1.88,19.5,0.133,0.774,0.456,0.136,0.484,0.529,96.68,0.46
G. Henderson | A. Jefferson | L. Stephenson | K. Walker | C. Zeller,CHA,22,5,17,0.227,155.0,93.3,102.1,-8.8,0.585,2.03,17.1,0.159,0.843,0.478,0.109,0.446,0.484,96.37,0.436
E. Fournier | C. Frye | T. Harris | E. Payton | N. Vucevic,ORL,16,6,10,0.375,153.0,98.4,107.9,-9.5,0.582,1.37,17.6,0.216,0.76,0.479,0.172,0.516,0.533,95.0,0.44
M. Carter-Williams | R. Covington | L. Mbah | K. McDaniels | N. Noel,PHI,19,9,10,0.474,152.0,101.0,86.0,14.9,0.591,1.76,16.3,0.297,0.673,0.484,0.128,0.457,0.49,93.67,0.589
T. Harris | K. O'Quinn | V. Oladipo | E. Payton | N. Vucevic,ORL,14,3,11,0.214,152.0,95.3,102.3,-7.1,0.647,2.2,19.7,0.152,0.721,0.434,0.119,0.479,0.5,93.63,0.475
G. Dieng | Z. LaVine | S. Muhammad | A. Wiggins | T. Young,MIN,16,1,15,0.063,151.0,101.0,118.5,-17.5,0.664,1.72,19.4,0.283,0.647,0.457,0.156,0.489,0.524,95.71,0.423
A. Brooks | M. Dunleavy | P. Gasol | J. Noah | T. Snell,CHI,11,4,7,0.364,149.0,98.1,106.0,-7.9,0.654,1.94,18.0,0.224,0.819,0.516,0.126,0.462,0.497,94.26,0.43
D. Augustin | K. Caldwell-Pope | A. Drummond | G. Monroe | K. Singler,DET,12,4,8,0.333,146.0,101.2,110.3,-9.1,0.664,1.83,19.1,0.267,0.758,0.502,0.146,0.49,0.515,91.74,0.463
B. Biyombo | G. Henderson | M. Kidd-Gilchrist | K. Walker | C. Zeller,CHA,10,6,4,0.6,146.0,90.6,90.3,0.2,0.684,1.16,17.0,0.323,0.808,0.582,0.202,0.432,0.481,94.53,0.538
D. DeRozan | A. Johnson | K. Lowry | J. Valanciunas | G. Vasquez,TOR,18,11,7,0.611,146.0,96.0,105.1,-9.2,0.554,1.06,15.6,0.311,0.724,0.518,0.199,0.478,0.509,88.8,0.409
G. Henderson | A. Jefferson | M. Kidd-Gilchrist | M. Williams | C. Zeller,CHA,10,6,4,0.6,146.0,106.7,104.1,2.6,0.685,2.3,21.3,0.208,0.829,0.53,0.129,0.519,0.553,96.08,0.526
A. Bradley | J. Green | R. Rondo | J. Sullinger | T. Zeller,BOS,16,5,11,0.313,145.0,106.3,98.5,7.8,0.627,1.91,20.5,0.171,0.778,0.514,0.144,0.561,0.579,101.27,0.546
C. Brewer | G. Dieng | Z. LaVine | A. Wiggins | T. Young,MIN,10,1,9,0.1,145.0,90.8,104.3,-13.5,0.569,1.35,15.1,0.263,0.712,0.471,0.148,0.426,0.465,95.14,0.419
I. Mahinmi | D. Rudez | L. Scola | R. Stuckey | C. Watson,IND,21,11,10,0.524,142.0,97.9,99.6,-1.7,0.587,1.24,16.6,0.186,0.748,0.49,0.172,0.502,0.541,96.34,0.49
M. Bonner | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,21,16,5,0.762,141.0,107.9,98.9,9.0,0.525,1.75,17.3,0.13,0.822,0.496,0.126,0.553,0.583,96.14,0.538
C. Bosh | N. Cole | L. Deng | D. Wade | S. Williams,MIA,10,6,4,0.6,139.0,110.7,111.0,-0.3,0.645,2.73,19.9,0.186,0.708,0.447,0.098,0.531,0.564,91.36,0.508
T. Chandler | M. Ellis | D. Harris | D. Nowitzki | C. Parsons,DAL,32,20,12,0.625,138.0,118.4,107.4,11.0,0.582,2.03,18.5,0.279,0.754,0.508,0.125,0.551,0.594,97.62,0.565
C. Frye | T. Harris | V. Oladipo | E. Payton | N. Vucevic,ORL,17,3,14,0.176,138.0,97.5,119.0,-21.6,0.562,1.69,16.1,0.231,0.702,0.44,0.127,0.46,0.491,94.33,0.388
G. Antetokounmpo | B. Knight | O. Mayo | J. Parker | L. Sanders,MIL,15,7,8,0.467,137.0,99.1,106.1,-7.0,0.6,1.31,16.7,0.289,0.686,0.485,0.172,0.47,0.52,99.98,0.447
G. Henderson | A. Jefferson | L. Stephenson | K. Walker | M. Williams,CHA,21,5,16,0.238,137.0,94.9,102.4,-7.5,0.554,2.43,16.6,0.112,0.828,0.444,0.087,0.46,0.489,92.72,0.44
B. Bogdanovic | J. Johnson | B. Lopez | D. Williams | T. Young,BKN,20,10,10,0.5,135.0,103.7,115.8,-12.0,0.568,2.1,16.7,0.261,0.688,0.452,0.108,0.469,0.508,98.25,0.429
C. Copeland | R. Hibbert | S. Hill | L. Scola | D. Sloan,IND,11,4,7,0.364,135.0,102.4,101.1,1.3,0.485,1.25,14.7,0.284,0.789,0.56,0.153,0.496,0.534,92.76,0.519
